lemma,definition,example,cn_gloss
analyze,to examine critically to bring out essential elements,"Students analyze the author's argument in the passage.",分析
approach,to come near in distance or time,"As the exam approaches, plan your study schedule.",方法/接近
assess,to evaluate or estimate the value of something,"The teacher assessed each essay with a rubric.",评估
concept,an abstract idea or general notion,"Understanding the concept helps you answer inference questions.",概念
derive,to obtain something from a source,"Many English words derive from Latin roots.",源于/获得
distribute,to divide and hand out,"Volunteers distribute handouts before the listening drill.",分发
economy,the wealth and resources of a region,"The lecture compared the digital economy with traditional trade.",经济
environment,the surroundings influencing development,"A supportive environment encourages daily review.",环境
establish,to set up or found,"We establish baseline vocabulary scores during onboarding.",建立
factor,a circumstance contributing to a result,"A major factor in TOEFL success is consistent practice.",因素
formula,a method or statement of facts,"The speaking formula guides students through integrated tasks.",公式/套路
function,the purpose or role of something,"Each drill has a clear function within the weekly sprint.",功能
identify,to recognize or name,"Learners identify paraphrases in reading passages.",识别
interpret,to explain the meaning of,"Can you interpret the professor's attitude?",解释
legal,related to law,"The reading passage discussed legal reforms in education.",法律的
method,a systematic way of doing something,"Shadowing is a proven method for improving listening.",方法
occur,to happen,"Brainstorming sessions occur every Friday evening.",发生
policy,a course of action by an organization,"Our late policy allows one make-up session.",政策
principle,a fundamental truth or rule,"Spaced repetition is a principle of long-term retention.",原则
proceed,to continue or move forward,"After feedback, students proceed with the second practice set.",继续
research,investigation to discover facts,"Research shows bilingual hints accelerate learning.",研究
respond,to answer or react,"Learners respond to prompts using new vocabulary.",回应
structure,the arrangement of parts,"Analyze the structure of the lecture before answering.",结构
theory,a set of ideas to explain facts,"The theory lecture connected vocabulary to cognition.",理论
