lemma,definition,example,cn_gloss
abandon,to give up completely or leave behind,"Facing unexpected turbulence, the pilot refused to abandon the passengers' hope.",放弃/遗弃
abolish,to officially end a practice or system,"Educational reforms aim to abolish unfair admission quotas.",废除
abundant,existing in large quantities,"The lecture hall had abundant evidence supporting the professor's claim.",丰富的
accelerate,to increase speed or progress,"Vocabulary drills accelerate recognition during TOEFL listening sections.",加速
accurate,free from errors,"Her summary was accurate and captured the speaker's tone.",准确的
adapt,to adjust to new conditions,"Students adapt their study plans before the intensive TOEFL camp.",适应
advocate,to publicly support a cause,"The teacher will advocate for more speaking practice.",提倡/拥护
aggregate,a total formed by combining several elements,"The report showed an aggregate improvement across all mock tests.",总数/集合
alleviate,to make a problem less severe,"Regular review alleviates test anxiety.",减轻
ambiguous,open to multiple meanings,"The ambiguous thesis confused the graders.",模糊的/含糊不清
analogy,a comparison showing similarities,"The instructor used a Mandarin analogy to explain the idiom.",类比
appeal,to request or attract,"The example sentences appeal to Chinese learners by referencing familiar contexts.",吸引/呼吁
applicable,relevant or appropriate,"Only academic idioms applicable to TOEFL topics should be prioritized.",适用的
approximate,close to the actual value,"The class computed an approximate speaking score from rubrics.",大约的
arbitrary,based on random choice,"Avoid arbitrary word lists; follow themed decks instead.",随意的
articulate,to express clearly,"She could articulate the main idea in both English and Mandarin.",清晰表达
assemble,to put together,"Learners assemble collocations to boost writing fluency.",集合/装配
assimilate,to absorb and integrate,"Immersive reading helps students assimilate new vocabulary.",吸收/同化
attain,to achieve or reach,"The cohort attained an average score of 100 after 12 weeks.",获得
attribute,to regard as caused by,"Teachers attribute slow progress to irregular review.",归因于
authentic,genuine and reliable,"Use authentic TOEFL sources to craft practice passages.",真实的
brevity,concise expression,"Summaries require brevity to hit TOEFL word limits.",简洁
coherent,logically connected,"Her coherent essay impressed the instructor.",连贯的
coincide,to happen at the same time,"Mock exams coincide with the final review sprint.",重合
collaborate,to work together,"Peers collaborate on speaking drills using shared scripts.",合作
commitment,strong dedication,"Daily commitment builds long-term vocabulary retention.",承诺
compatible,able to exist together without conflict,"The spaced repetition schedule stays compatible with school classes.",兼容的
complement,to complete or enhance,"Listening practice complements daily word reviews.",补充
comprehensive,including everything necessary,"We released a comprehensive word pack with CN hints.",全面的
confer,to grant or discuss,"Teachers confer badges to learners who master each deck.",授予/商议
confine,to limit or restrict,"Do not confine practice to word lists; apply them in writing.",限制
consecutive,following continuously,"She answered five consecutive speaking prompts.",连续的
consent,permission or agreement,"Parental consent is needed for voice recording features.",同意
considerable,large in amount,"Considerable effort is required to memorize academic phrases.",相当大的
consolidate,to make stronger by combining,"Weekend workshops consolidate knowledge from the week.",巩固
constitute,to form or make up,"High-frequency verbs constitute the foundation of this deck.",构成
contradict,to express the opposite,"Examples must not contradict dictionary definitions.",矛盾/反驳
crucial,extremely important,"Accurate tone production is crucial for speaking clarity.",关键的
dedicate,to devote time or effort,"We dedicate Saturday sessions to mock speaking tests.",奉献
deficiency,lack or shortage,"Listening deficiency often stems from limited academic vocabulary.",缺乏
deliberate,done consciously and carefully,"She made a deliberate effort to use new words in essays.",深思熟虑的
derive,to obtain from a source,"Many TOEFL words derive from Latin roots that match Mandarin translations.",源于
detain,to keep from proceeding,"Customs may detain travelers to inspect documents.",扣留
devise,to invent or plan,"The class will devise mnemonic stories for confusing verbs.",设计/想出
differentiate,to recognize differences,"Students differentiate formal and informal synonyms during drills.",区分
dimension,a measurable extent,"Listening scripts analyze each dimension of the main idea.",维度
discrete,separate and distinct,"Group words into discrete decks by TOEFL task type.",离散的/分离的
disperse,to spread over a wide area,"Push notifications disperse reviews throughout the day.",分散
diverse,showing variety,"TOEFL passages cover diverse academic disciplines.",多样的
elaborate,detailed and carefully arranged,"Provide elaborate feedback after speaking submissions.",详尽的
